t,phi1,phi2,phi1dot,phi2dot,deltaE
20.4,-0.622767,27.2806,-2.29786,0.585184,-0.00124115
20.45,-0.64668,27.264,-2.20324,0.537376,-0.00124115
20.5,-0.670582,27.245,-2.10499,0.488341,-0.00124115
20.55,-0.694408,27.2235,-2.00322,0.438063,-0.00124116
20.6,-0.718093,27.1997,-1.89802,0.386529,-0.00124116
20.65,-0.741569,27.1737,-1.78947,0.333723,-0.00124116
20.7,-0.764769,27.1457,-1.67768,0.279635,-0.00124116
20.75,-0.787623,27.1156,-1.56272,0.224265,-0.00124116
20.8,-0.810062,27.0837,-1.44472,0.167621,-0.00124116
20.85,-0.832014,27.0499,-1.32378,0.109731,-0.00124116
20.9,-0.853405,27.0145,-1.20004,0.0506389,-0.00124116
20.95,-0.87416,26.9776,-1.07363,-0.00958598,-0.00124116
21,-0.894201,26.9392,-0.944738,-0.0708481,-0.00124116
21.05,-0.913451,26.8994,-0.813541,-0.133023,-0.00124116
21.1,-0.931831,26.8585,-0.680254,-0.195953,-0.00124116
